"","BU207","BU208","BU211","BU301","BU304","CR108","CR109","CR125","CR132","EH152","EH153","ES171","ES174","ES189","ES246","ES355","ES409","ES440","ES618","ES828","GR135","GR141","IT113","IT148","IT151","IT152","IT164","IT165","IT167","IT168","IT317","IT321","PO145","PO241","PO254","SE127","SE129","SE130","SE134","SL143"
"OTU1235",0,0,0,0,0,0.00223878441228298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1236",0,0,0,0,0,0.00205101539705925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00347090206659717,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000812944910611405
"OTU1241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00183790347724774,0.000377841684334264,0,0,0,0,0,0,0,0,0,0
"OTU1244",0,0,0.000239212194506093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00284803469424082,0,0,0,0,0,0,0,0,0,0,0,0
"OTU125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15224195004514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1254",0,0,0,0,0,0,0,0,0,0,0,0.000576543334438375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000308228515879696,0,0,0,0,0,0,0
"OTU1256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00502141485748043,0,0,0,0,0,0,0,0,0,0,0
"OTU1259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00277326506834704,0,0,0,0,0,0,0,0,0,0,0
"OTU126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00541679205537165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
